stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
231A,231A,Sousse Bab Jédid,,35.8228507767531,10.6415840823664,Zone231A,,0,
233C,233C,Sousse Sud,,35.800840832022,10.6496811864692,Zone233C,,0,
232B,232B,Sousse Mohamed V,,35.815994056601,10.6432466581775,Zone232B,,0,
234D,234D,Sousse Zone Industrielle,,35.78210121339,10.6683761787815,Zone234D,,0,
235E,235E,Sahline Ville,,35.7593339232069,10.7024726107365,Zone235E,,0,
236F,236F,Sahline Sabkha,,35.757686353165,10.7165378834234,Zone236F,,0,
239J,239J,Les Hôtels,,35.7601258024262,10.7448903643647,Zone239J,,0,
237G,237G,Aéroport,,35.7624904512659,10.7541128346169,Zone237G,,0,
240K,240K,La Faculté,,35.7596166842807,10.8073596579963,Zone240K,,0,
238H,238H,Monastir,,35.7709193241006,10.8262264321991,Zone238H,,0,
272Z,272Z,La Faculté 2,,35.7611226385762,10.8094825044621,Zone272Z,,0,
241L,241L,Monastir Zone Industrielle,,35.7401836383221,10.8204012119074,Zone241L,,0,
254C,254C,Frina,,35.7306805123002,10.8126839755876,Zone254C,,0,
242M,242M,Khnis Bembla,,35.7090437732489,10.8124318421797,Zone242M,,0,
243N,243N,Ksibet Bennane,,35.6804534247721,10.8411882576859,Zone243N,,0,
244P,244P,Bouhadjar,,35.672352645897,10.8676321562678,Zone244P,,0,
245R,245R,Lamta,,35.6702581645966,10.8825055678671,Zone245R,,0,
246S,246S,Sayada,,35.6660748483645,10.8882000190262,Zone246S,,0,
247P,247P,Ksar Hellal Z.I.,,35.6519228558071,10.8986171988573,Zone247P,,0,
248W,248W,Ksar Hellal,,35.6446888930349,10.9011808808558,Zone248W,,0,
249X,249X,Moknine Gribaa,,35.6380014364725,10.9069138381199,Zone249X,,0,
260J,260J,Moknine,,35.631289410059,10.9156106642362,Zone260J,,0,
270X,270X,Téboulba Z.I.,,35.6337470970527,10.9434954698372,Zone270X,,0,
261K,261K,Téboulba,,35.6377148909151,10.9616298147393,Zone261K,,0,
262L,262L,Békalta,,35.6152409339596,10.9893643942821,Zone262L,,0,
264N,264N,Baghdadi,,35.569531869648,11.0184250017686,Zone264N,,0,
265P,265P,Mahdia Z.T.,,35.5369110334718,11.0274182665212,Zone265P,,0,
271Y,271Y,Sidi Massaoud,,35.5210715684533,11.02721426692,Zone271Y,,0,
266R,266R,Borj Arif,,35.5061928462048,11.0303670358646,Zone266R,,0,
268T,268T,Ezzahra,,35.5000434191629,11.0483183619427,Zone268T,,0,
267S,267S,Mahdia,,35.4991937181188,11.0628611953142,Zone267S,,0,
Depot,Depot,Le Dépot,,35.7932056827795,10.6546029772288,ZoneDepot,,0,
